x,y
28.25934973,38.42255658
37.82970354,78.48366461
22.98002649,22.27129098
38.47529274,6.744734276
23.96910976,9.571941209
52.0070035,35.13049253
85.26931463,7.196434164
87.35458466,92.35996879
64.53920802,76.8090187
61.74880651,74.56754391
77.64080881,87.23615186
96.29635054,56.1575772
80.41530661,94.81371442
24.4052041,90.05939286
28.61155202,0.458265139
94.54825592,56.93292884
85.06013636,26.03670441
69.46904102,18.99225423
22.35356282,64.75335919
52.08397705,83.65195047
49.81395826,50.57782112
49.10695513,62.1023566
65.89180301,17.43052811
71.37842536,55.01816507
91.1702221,89.79772112
72.94613884,2.221594954
15.90662478,29.35209982
14.2310309,61.14126297
36.9957252,80.33937159
72.35613418,84.89006391
93.79059705,69.31875005
29.60328619,97.83451286
43.3193923,82.14923415
67.9655505,87.448284
85.37364995,43.80788723
34.68313421,97.96197371
8.829117008,47.32687447
16.80929479,19.59767037
18.19383362,30.63802011
95.17402945,94.58277839
13.58541346,94.1537446
33.75563476,62.18820867
32.69097117,63.79333761
82.47926845,8.589094013
79.88851495,34.49209819
91.66028957,83.05612259
19.14434029,77.58963965
1.302303821,68.86050601
75.93516769,41.81103918
77.09862161,1.64984035
x,y
33.36885096,12.35793693
55.0607283,52.46678259
17.32042107,79.53970928
2.683754389,31.45759643
89.02081712,79.0039334
73.81698239,59.62296338
96.89244632,43.090033
9.375656548,76.19902602
89.35897748,40.92170785
27.62964136,88.8642131
30.37781138,40.83870577
51.54453278,34.83913896
44.44838339,49.0607664
78.91694368,25.8683059
92.48321053,77.73158825
95.75037432,55.4193584
63.03110799,27.51307826
61.94184675,18.93757841
75.66840826,37.39131589
90.41104332,41.81588187
95.32566463,10.91618676
57.21543263,69.1127214
30.78725274,84.15438691
6.745704125,12.54751695
43.75521638,79.19039199
71.1604138,3.09483291
36.85323446,70.12883458
17.00899956,99.91026476
57.55522605,83.5480189
43.72443244,17.67420799
42.32721336,1.301299827
3.020605531,79.269695
19.77590618,46.2208947
17.3425567,2.471260634
49.35297034,33.58963798
29.16389229,50.23997243
13.13887781,1.396850828
26.46643947,68.55351468
48.99350163,89.02944391
79.40592695,27.04980623
x,y
71.6125548,3.824203298
83.11526913,15.97226078
82.93228981,34.1779943
15.81843267,97.0741828
81.24153695,42.71741437
0.320365906,73.21783575
46.34713854,18.73678391
13.28482534,83.21260848
10.30878048,98.43124432
58.97462091,59.8079194
93.27140775,46.56044967
9.516746553,13.11038118
76.51433835,0.368718136
10.34736079,4.823082585
37.88193416,66.07745448
3.976000016,49.60734521
22.53177183,45.95563097
43.35449265,15.08002375
28.54786185,4.628623732
88.91919015,0.27445226
41.09478244,39.55973767
6.254080161,51.73616599
89.84685175,54.86696997
89.81586041,20.39492321
50.55242601,69.38495233
92.12329903,91.66790794
5.614078237,46.08209306
20.26310262,33.25431387
32.26990952,40.21230833
90.06814337,80.39617153
x,y
19.47820003,13.04260576
31.68837156,20.65299068
9.969346875,12.05841075
29.02098445,49.1917151
14.83179774,15.59030738
36.08099187,0.704078797
37.81881001,41.6279361
2.387969726,8.437667274
48.2932875,43.96979927
31.77927022,23.24390228
8.782602449,27.05099986
32.04080268,8.407375536
25.70989026,46.29375006
44.28847894,36.69049852
40.28890753,3.884880439
40.48138759,0.550916554
32.36122328,20.91300365
39.60513222,45.38579043
30.15351161,4.649271655
31.98750057,32.90735982
x,y
23.25871065,35.69379255
15.69196652,5.449717208
46.9368664,29.04354547
46.22845166,33.01118465
8.065403136,45.77867014
20.60123652,11.41997472
11.03315371,20.86738422
10.35657622,25.05490438
15.79486576,8.554480993
29.64842919,32.58301267
